Time(s),IDD(A),ISS(A),P1(V),P0(V),P3(V),P2(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P4(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P5(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P6(V),P7(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),B2(V),B3(V),A1(V),A2(V),B0(V),B1(V),A0(V),A3(V)
     0.043e-9,  0.395503e-3,  0.000000e-3,     0.639,     0.644,     0.615,     0.633,     0.018,     0.018,     0.018,     0.018,     0.578,     0.018,     0.018,     0.018,     0.018,     0.558,     0.018,     0.018,     0.018,     0.018,     0.575,     0.286,     0.018,     0.018,     0.018,     0.018,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.044e-9,  0.370347e-3,  0.000000e-3,     0.642,     0.646,     0.622,     0.637,     0.018,     0.018,     0.018,     0.018,     0.589,     0.018,     0.018,     0.018,     0.018,     0.570,     0.018,     0.018,     0.018,     0.018,     0.586,     0.279,     0.018,     0.018,     0.018,     0.018,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.045e-9,  0.347044e-3,  0.000000e-3,     0.644,     0.647,     0.627,     0.640,     0.017,     0.017,     0.017,     0.017,     0.598,     0.017,     0.017,     0.017,     0.017,     0.581,     0.017,     0.017,     0.017,     0.017,     0.596,     0.271,     0.017,     0.017,     0.017,     0.017,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.046e-9,  0.325388e-3,  0.000000e-3,     0.646,     0.648,     0.632,     0.642,     0.016,     0.016,     0.016,     0.016,     0.607,     0.016,     0.016,     0.016,     0.016,     0.591,     0.016,     0.016,     0.016,     0.016,     0.605,     0.263,     0.016,     0.016,     0.016,     0.016,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.117,     0.000
     0.047e-9,  0.305485e-3,  0.000000e-3,     0.647,     0.648,     0.636,     0.644,     0.016,     0.016,     0.016,     0.016,     0.614,     0.016,     0.016,     0.016,     0.016,     0.600,     0.016,     0.016,     0.016,     0.016,     0.612,     0.255,     0.016,     0.016,     0.016,     0.016,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.247,     0.000
     0.048e-9,  0.287414e-3,  0.000000e-3,     0.648,     0.649,     0.639,     0.646,     0.015,     0.015,     0.015,     0.015,     0.620,     0.015,     0.015,     0.015,     0.015,     0.608,     0.015,     0.015,     0.015,     0.015,     0.619,     0.246,     0.015,     0.015,     0.015,     0.015,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.377,     0.000
     0.049e-9,  0.271242e-3,  0.000000e-3,     0.648,     0.649,     0.642,     0.647,     0.014,     0.014,     0.014,     0.014,     0.626,     0.014,     0.014,     0.014,     0.014,     0.615,     0.014,     0.014,     0.014,     0.014,     0.624,     0.238,     0.014,     0.014,     0.014,     0.014,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.507,     0.000
     0.050e-9,  0.256430e-3,  0.000000e-3,     0.649,     0.649,     0.644,     0.648,     0.014,     0.014,     0.014,     0.014,     0.630,     0.014,     0.014,     0.014,     0.014,     0.621,     0.014,     0.014,     0.014,     0.014,     0.629,     0.229,     0.014,     0.014,     0.014,     0.014,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.637,     0.000
     0.051e-9,  0.242739e-3,  0.000000e-3,     0.649,     0.650,     0.645,     0.648,     0.013,     0.013,     0.013,     0.013,     0.634,     0.013,     0.013,     0.013,     0.013,     0.626,     0.013,     0.013,     0.013,     0.013,     0.633,     0.220,     0.013,     0.013,     0.013,     0.013,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.052e-9,  0.229904e-3,  0.000000e-3,     0.649,     0.650,     0.646,     0.649,     0.012,     0.012,     0.012,     0.012,     0.637,     0.012,     0.012,     0.012,     0.012,     0.630,     0.012,     0.012,     0.012,     0.012,     0.637,     0.211,     0.012,     0.012,     0.012,     0.012,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
